time,ACO,IWO,LBBO,GA,PSO
16.433,1.0009,1.0014,1.0005,1.0013,1.0013
16.473,1.0009,1.0013,1.0005,1.0012,1.0012
16.513,1.0009,1.0012,1.0004,1.0012,1.0011
16.553,1.0009,1.0011,1.0004,1.0011,1.0011
16.593,1.0009,1.001,1.0004,1.001,1.001
16.633,1.0009,1.001,1.0004,1.001,1.0009
16.673,1.0008,1.0009,1.0004,1.0009,1.0009
16.713,1.0008,1.0008,1.0003,1.0009,1.0008
16.754,1.0008,1.0008,1.0003,1.0008,1.0008
16.794,1.0008,1.0008,1.0003,1.0008,1.0008
16.834,1.0008,1.0007,1.0003,1.0007,1.0008
16.874,1.0008,1.0007,1.0003,1.0007,1.0008
16.914,1.0008,1.0007,1.0003,1.0007,1.0008
16.954,1.0008,1.0007,1.0002,1.0006,1.0008
16.994,1.0008,1.0007,1.0002,1.0006,1.0008
17.034,1.0007,1.0007,1.0002,1.0006,1.0008
17.074,1.0007,1.0007,1.0002,1.0005,1.0008
17.114,1.0007,1.0007,1.0002,1.0005,1.0008
17.154,1.0007,1.0008,1.0002,1.0005,1.0009
17.194,1.0007,1.0008,1.0002,1.0005,1.0009
17.234,1.0007,1.0008,1.0001,1.0005,1.001
17.275,1.0007,1.0008,1.0001,1.0004,1.001
17.315,1.0007,1.0009,1.0001,1.0004,1.001
17.355,1.0006,1.0009,1.0001,1.0004,1.0011
17.395,1.0006,1.0009,1.0001,1.0004,1.0011
17.435,1.0006,1.001,1.0001,1.0004,1.0012
17.475,1.0006,1.001,1.0001,1.0004,1.0012
17.515,1.0006,1.001,1.0001,1.0004,1.0012
17.555,1.0006,1.0011,1,1.0004,1.0013
17.595,1.0006,1.0011,1,1.0004,1.0013
17.635,1.0005,1.0011,1,1.0004,1.0014
17.675,1.0005,1.0012,1,1.0004,1.0014
17.715,1.0005,1.0012,1,1.0004,1.0014
17.756,1.0005,1.0012,1,1.0005,1.0015
17.796,1.0005,1.0013,1,1.0005,1.0015
17.836,1.0005,1.0013,0.99999,1.0005,1.0015
17.876,1.0005,1.0013,0.99998,1.0005,1.0015
