Jdi,Jdo,Jr
0.34521,0.42243,0.5648
0.34842,0.4217,0.56553
0.34963,0.42121,0.56663
0.2118,0.52387,0.60822
0.21335,0.52036,0.60596
0.21519,0.51688,0.604
0.21712,0.51347,0.60204
0.21939,0.51016,0.60052
0.22137,0.50683,0.5984
0.22367,0.50359,0.59671
0.22598,0.50038,0.59494
0.22838,0.49721,0.59325
0.23088,0.49411,0.59166
0.23337,0.49099,0.58998
0.23594,0.48792,0.58839
0.23856,0.48488,0.58681
0.24121,0.48185,0.58524
0.24395,0.47889,0.58377
0.24666,0.47589,0.58219
0.24944,0.47295,0.58071
0.25225,0.47001,0.57921
0.2551,0.4671,0.57776
0.25809,0.46427,0.57637
0.2613,0.46156,0.57509
0.26466,0.45894,0.57388
0.26817,0.45643,0.5728
0.27179,0.45393,0.57165
0.27555,0.45154,0.57066
0.27943,0.44922,0.56971
0.28342,0.44699,0.56888
0.28753,0.44475,0.56796
0.29173,0.44262,0.56719
0.29603,0.44053,0.56644
0.30039,0.43852,0.56581
0.30488,0.43648,0.56506
0.30941,0.43454,0.56446
0.31401,0.43263,0.56387
0.31868,0.43075,0.5633
0.32341,0.42889,0.56275
0.32831,0.42725,0.56245
0.33374,0.42573,0.56216
0.33933,0.42435,0.56203
0.34483,0.4233,0.56225
0.34633,0.42272,0.56329
0.34786,0.42217,0.56431
0.3486,0.42169,0.56548
0.21406,0.52188,0.60393
0.21598,0.51831,0.60221
0.21766,0.51486,0.59997
0.21983,0.51148,0.59838
0.22172,0.50811,0.59623
0.22394,0.50483,0.5945
